dataset,fbg,impact_id,start_time,peak_time,end_time,pre_impact_baseline,peak_value,peak_shift,absolute_peak_shift,post_impact_level,residual_shift,rise_time,recovery_time,residual_n_samples,residual_reason
expert12,FBG2,expert12-FBG2-003,2.919971,2.99997,3.279967,-6.4826340831169774e-06,0.018436182983659625,0.018442665617742743,0.018442665617742743,0.004471101398577102,0.004477584032660219,0.07999899999999993,0.2799970000000003,29,
expert12,FBG2,expert12-FBG2-004,3.93996,4.139958,4.339956,-6.4826340831169774e-06,0.005965064102538927,0.005971546736622044,0.005971546736622044,0.004945483682938836,0.004951966317021953,0.1999979999999999,0.1999979999999999,50,
expert12,FBG2,expert12-FBG2-005,5.599944,5.93994,5.99994,-6.4826340831169774e-06,0.0055612412586035385,0.005567723892686656,0.005567723892686656,0.005234691142093469,0.005241173776176586,0.3399960000000002,0.05999999999999961,47,
expert12,FBG2,expert12-FBG2-006,7.039929,7.239927,7.439925,-6.4826340831169774e-06,0.006543665501064941,0.006550148135148058,0.006550148135148058,0.004697744755066416,0.004704227389149533,0.1999979999999999,0.1999979999999999,23,
expert12,FBG2,expert12-FBG2-007,7.99992,8.299917,9.739902,-6.4826340831169774e-06,0.006227581584978216,0.006234064219061333,0.006234064219061333,0.004620472027880133,0.00462695466196325,0.2999970000000003,1.439985,46,
expert12,FBG2,expert12-FBG2-008,10.759892,10.95989,11.159888,-6.4826340831169774e-06,0.006206252913618064,0.006212735547701181,0.006212735547701181,0.0049757867131139475,0.004982269347197065,0.199997999999999,0.1999980000000008,29,
expert12,FBG2,expert12-FBG2-009,11.599884,11.659883,11.99988,-6.4826340831169774e-06,0.004928513985909162,0.004934996619992279,0.004934996619992279,0.004687861305299876,0.004694343939382993,0.059999000000001246,0.33999699999999855,20,
expert13,FBG2,expert13-FBG2-004,3.219968,3.279967,3.399966,-1.4621678209829633e-05,0.005246328438316777,0.005260950116526606,0.005260950116526606,0.0002960836831017277,0.0003107053613115573,0.059998999999999914,0.11999899999999997,50,
expert13,FBG2,expert13-FBG2-018,17.559824,17.659823,17.659823,-1.4621678209829633e-05,-0.011027144755157205,-0.011012523076947375,0.011012523076947375,-0.022254883682745828,-0.022240262004536,0.0999990000000004,0.0,29,
expert13,FBG2,expert13-FBG2-019,18.319817,18.519814,18.719813,-1.4621678209829633e-05,-0.03627106083899579,-0.03625643916078596,0.03625643916078596,-0.0295204431233907,-0.029505821445180873,0.19999699999999976,0.19999899999999826,50,
expert8,FBG2,expert8-FBG2-002,2.899971,2.939971,3.839962,-2.847435988163193e-06,0.05284682027963862,0.05284966771562678,0.05284966771562678,0.02247271771547453,0.022475565151462693,0.040000000000000036,0.899991,50,
expert8,FBG2,expert8-FBG2-003,6.479935,6.899931,7.819922,-2.847435988163193e-06,0.022331971794694663,0.022334819230682826,0.022334819230682826,0.021060223543018557,0.02106307097900672,0.41999599999999937,0.9199910000000004,50,
expert8,FBG2,expert8-FBG2-004,9.079909,9.419906,9.479905,-2.847435988163193e-06,0.022117496270227983,0.022120343706216145,0.022120343706216145,0.021224396037169822,0.021227243473157985,0.33999699999999855,0.059999000000001246,41,
expert8,FBG2,expert8-FBG2-005,10.399896,10.599894,10.799892,-2.847435988163193e-06,0.02214570139845889,0.022148548834447054,0.022148548834447054,0.020915235197997706,0.02091808263398587,0.1999980000000008,0.199997999999999,50,
expert8,FBG2,expert8-FBG2-006,13.079869,13.119869,13.479865,-2.847435988163193e-06,0.020836866899630636,0.0208397143356188,0.0208397143356188,0.02118318391596688,0.021186031351955043,0.03999999999999915,0.35999600000000065,5,
expert8,FBG2,expert8-FBG2-007,13.679863,13.879861,14.839852,-2.847435988163193e-06,0.02182409300684627,0.021826940442834432,0.021826940442834432,0.019896307459066138,0.0198991548950543,0.1999980000000008,0.9599910000000005,29,
expert8,FBG2,expert8-FBG2-008,15.079849,15.279847,15.479845,-2.847435988163193e-06,0.021610340093117332,0.021613187529105495,0.021613187529105495,0.019791039393808385,0.019793886829796548,0.1999980000000008,0.199997999999999,37,
expert8,FBG2,expert8-FBG2-009,16.319837,17.319827,17.799822,-2.847435988163193e-06,0.021204116316871344,0.021206963752859506,0.021206963752859506,0.020386260839002322,0.020389108274990485,0.9999900000000004,0.47999499999999884,36,
expert8,FBG2,expert8-FBG2-010,18.619814,18.819812,19.279807,-2.847435988163193e-06,0.021111365734109537,0.0211142131700977,0.0211142131700977,0.020115817948607548,0.02011866538459571,0.19999799999999723,0.4599950000000028,35,
expert8,FBG2,expert8-FBG2-011,20.079799,20.279797,20.479795,-2.847435988163193e-06,0.021457169929943266,0.02146001736593143,0.02146001736593143,0.0197094076921199,0.019712255128108064,0.19999799999999723,0.1999980000000008,16,
expert8,FBG2,expert8-FBG2-012,20.899791,21.579784,22.599774,-2.847435988163193e-06,0.020915281818081312,0.020918129254069474,0.020918129254069474,0.020206727039453008,0.02020957447544117,0.6799929999999996,1.01999,11,
expert8,FBG2,expert8-FBG2-013,22.91977,23.619764,24.439756,-2.847435988163193e-06,0.02110129580401998,0.021104143240008144,0.021104143240008144,0.019160736363491318,0.01916358379947948,0.6999940000000002,0.8199919999999992,47,
expert8,FBG2,expert8-FBG2-014,25.479745,25.679743,25.879741,-2.847435988163193e-06,0.020327006759805887,0.02032985419579405,0.02032985419579405,0.018966167598904456,0.01896901503489262,0.19999799999999723,0.1999980000000008,23,
expert8,FBG2,expert8-FBG2-015,26.299737,26.379736,26.699733,-2.847435988163193e-06,0.020017566200336206,0.02002041363632437,0.02002041363632437,,,0.07999900000000082,0.3199969999999972,3,insufficient_post_impact_samples(3<5)
expert8,FBG2,expert8-FBG2-016,26.859731,27.659723,28.179718,-2.847435988163193e-06,0.01994243799523338,0.01994528543122154,0.01994528543122154,0.01877108601386039,0.018773933449848554,0.7999919999999996,0.5199950000000015,22,
expert8,FBG2,expert8-FBG2-017,28.579714,28.95971,28.97971,-2.847435988163193e-06,0.019318288811039783,0.019321136247027946,0.019321136247027946,,,0.379996000000002,0.019999999999999574,3,insufficient_post_impact_samples(3<5)
expert8,FBG2,expert8-FBG2-018,29.139708,29.339707,30.219697,-2.847435988163193e-06,0.020330899533706325,0.020333746969694488,0.020333746969694488,0.018674757342509125,0.018677604778497288,0.19999900000000181,0.8799899999999994,24,
