dataset,fbg,impact_id,start_time,peak_time,end_time,duration,num_samples,sampling_frequency_hz,wavelet,decomposition_level,wavelet_energy,approximation_energy,detail_energy,wavelet_entropy
expert12,FBG2,expert12-FBG2-003,2.919971,2.99997,3.279967,0.3599960000000002,19,50.00250012500545,db4,3,0.0029256980318388822,0.0029089576982251593,1.6740333613723075e-05,0.050854832683863274
expert12,FBG2,expert12-FBG2-004,3.93996,4.139958,4.339956,0.3999959999999998,21,49.99999999999996,db4,3,0.0007839457245896532,0.0007836350112770739,3.107133125793381e-07,0.0050507738474335874
expert12,FBG2,expert12-FBG2-005,5.599944,5.93994,5.99994,0.3999959999999998,21,49.99999999999885,db4,3,0.0006302107437179032,0.0006300605432283914,1.5020048951178568e-07,0.0032120840554764416
expert12,FBG2,expert12-FBG2-006,7.039929,7.239927,7.439925,0.3999959999999998,21,49.99999999999885,db4,3,0.0009585324043360559,0.0009584455457186027,8.685861745315879e-08,0.001347690287272493
expert12,FBG2,expert12-FBG2-007,7.99992,8.299917,9.739902,1.7399820000000004,88,49.99999999999885,db4,3,0.0031435590312050136,0.0031150751827272063,2.8483848477807346e-05,0.08176063202179468
expert12,FBG2,expert12-FBG2-008,10.759892,10.95989,11.159888,0.3999959999999998,21,50.000000000001066,db4,3,0.0007486468602247747,0.0007482195338518438,4.273263729309422e-07,0.006973451398334067
expert12,FBG2,expert12-FBG2-009,11.599884,11.659883,11.99988,0.3999959999999998,21,50.00250012500545,db4,3,0.0004958722764284417,0.0004949394103146196,9.328661138221327e-07,0.019744644126890965
expert13,FBG2,expert13-FBG2-004,3.219968,3.279967,3.399966,0.17999799999999988,10,49.99999999999996,db4,3,,,,
expert13,FBG2,expert13-FBG2-018,17.559824,17.659823,17.659823,0.0999990000000004,6,50.000000000001066,db4,3,,,,
expert13,FBG2,expert13-FBG2-019,18.319817,18.519814,18.719813,0.399995999999998,21,50.00250012500989,db4,3,0.03066209286162569,0.030661925480699303,1.673809263874994e-07,0.00010331301523003611
expert8,FBG2,expert8-FBG2-002,2.899971,2.939971,3.839962,0.939991,48,49.99999999999996,db4,3,0.04841168311105631,0.04658268819998208,0.0018289949110742317,0.2619476012820073
expert8,FBG2,expert8-FBG2-003,6.479935,6.899931,7.819922,1.3399869999999998,68,50.000000000001066,db4,3,0.05059506179957159,0.05058961025497411,5.45154459748208e-06,0.001736278315647375
expert8,FBG2,expert8-FBG2-004,9.079909,9.419906,9.479905,0.3999959999999998,21,50.000000000001066,db4,3,0.012541258234163114,0.012540971967347865,2.8626681524903756e-07,0.00038488388447257134
expert8,FBG2,expert8-FBG2-005,10.399896,10.599894,10.799892,0.3999959999999998,21,50.000000000001066,db4,3,0.012342311615524838,0.012341924844306214,3.8677121862338754e-07,0.0005140663610995176
expert8,FBG2,expert8-FBG2-006,13.079869,13.119869,13.479865,0.3999959999999998,21,50.000000000001066,db4,3,0.011387014817476518,0.011386580699073025,4.341184034921009e-07,0.0006146200105548174
expert8,FBG2,expert8-FBG2-007,13.679863,13.879861,14.839852,1.1599890000000013,59,49.999999999996625,db4,3,0.04289955876570489,0.04287211012501566,2.7448640689233084e-05,0.00823826394729873
expert8,FBG2,expert8-FBG2-008,15.079849,15.279847,15.479845,0.3999959999999998,21,49.999999999996625,db4,3,0.01158661386942692,0.011586004859988619,6.090094383013437e-07,0.0008230228205933741
expert8,FBG2,expert8-FBG2-009,16.319837,17.319827,17.799822,1.4799849999999992,75,50.000000000001066,db4,3,0.0477601492239897,0.047750028909870464,1.0120314119233525e-05,0.003077398373794309
expert8,FBG2,expert8-FBG2-010,18.619814,18.819812,19.279807,0.659993,34,50.00250012500989,db4,3,0.020990983309209888,0.020989080877752805,1.9024314570822239e-06,0.0014151080775376941
expert8,FBG2,expert8-FBG2-011,20.079799,20.279797,20.479795,0.399995999999998,21,50.000000000001066,db4,3,0.011703087593072195,0.011702786375093577,3.0121797861699893e-07,0.00042953157045533876
expert8,FBG2,expert8-FBG2-012,20.899791,21.579784,22.599774,1.6999829999999996,86,50.000000000001066,db4,3,0.05024096535760877,0.05021719511602357,2.3770241585195047e-05,0.006260777320548947
expert8,FBG2,expert8-FBG2-013,22.91977,23.619764,24.439756,1.5199859999999994,77,50.000000000001066,db4,3,0.04491314738506372,0.04489083284726717,2.231453779654825e-05,0.006524428986753438
expert8,FBG2,expert8-FBG2-014,25.479745,25.679743,25.879741,0.399995999999998,21,50.000000000001066,db4,3,0.010755078619482408,0.010754744689979338,3.3392950306964995e-07,0.0005097483577324043
expert8,FBG2,expert8-FBG2-015,26.299737,26.379736,26.699733,0.399995999999998,21,50.00250012500989,db4,3,0.01009050808327452,0.010089892481008195,6.156022663255284e-07,0.0009421651856193215
expert8,FBG2,expert8-FBG2-016,26.859731,27.659723,28.179718,1.3199870000000011,67,50.000000000001066,db4,3,0.03869094807353743,0.038675569077884005,1.5378995653422672e-05,0.0055649444160035645
expert8,FBG2,expert8-FBG2-017,28.579714,28.95971,28.97971,0.3999960000000016,21,50.000000000001066,db4,3,0.009698698793339929,0.009698420824375144,2.779689647858079e-07,0.00047385032099155674
