experiment,channel,filter,baseline_nm,raw_noise_std,filtered_noise_std,raw_noise_rms,filtered_noise_rms,noise_reduction_percent
expert8,FBG3,moving_average,1529.0260681999998,0.0017592330033043442,0.0008451723052594753,0.001759233003304344,0.0008451744861140183,51.95790985776192
expert8,FBG3,butterworth,1529.0260681999998,0.0017592330033043442,0.0008473985764932622,0.001759233003304344,0.0008476520026336018,51.83136202529145
expert8,FBG3,savitzky_golay,1529.0260681999998,0.0017592330033043442,0.0008837707645613594,0.001759233003304344,0.0008837774625704915,49.763859426159904
expert8,FBG3,median,1529.0260681999998,0.0017592330033043442,0.0011694519188189482,0.001759233003304344,0.001177083279772884,33.52489882679656
expert9,FBG1,moving_average,1546.1600278999997,0.004600893238286179,0.0018470776810922127,0.004600893238286179,0.0018471098424246918,59.8539330206183
expert9,FBG1,butterworth,1546.1600278999997,0.004600893238286179,0.0016793955112045444,0.004600893238286179,0.001679400419479601,63.498489875194
expert9,FBG1,savitzky_golay,1546.1600278999997,0.004600893238286179,0.001768001894248471,0.004600893238286179,0.0017682088487980727,61.57263812304744
expert9,FBG1,median,1546.1600278999997,0.004600893238286179,0.002278385555750654,0.004600893238286179,0.0022803412169743746,50.47949522516313
expert9,FBG2,moving_average,1524.7715286,0.001389031331532629,0.0005379292931235543,0.0013890313315326288,0.0005379298021120976,61.27306267958592
expert9,FBG2,butterworth,1524.7715286,0.001389031331532629,0.0005060692982598772,0.0013890313315326288,0.0005063817319592056,63.56674707247312
expert9,FBG2,savitzky_golay,1524.7715286,0.001389031331532629,0.0005707739413182773,0.0013890313315326288,0.0005707749903039233,58.90849051702117
expert9,FBG2,median,1524.7715286,0.001389031331532629,0.0006932730509654853,0.0013890313315326288,0.0006965832044953438,50.08945909085133
expert9,FBG3,moving_average,1529.0263412,0.0017647471659995835,0.0008802672728068921,0.0017647471659995835,0.0008803362493825219,50.11935478540387
expert9,FBG3,butterworth,1529.0263412,0.0017647471659995835,0.0008344613973742879,0.0017647471659995835,0.0008345251662883366,52.714960338149375
expert9,FBG3,savitzky_golay,1529.0263412,0.0017647471659995835,0.0008964142093017713,0.0017647471659995835,0.0008965390092427712,49.20438312226858
expert9,FBG3,median,1529.0263412,0.0017647471659995835,0.001093731827261903,0.0017647471659995835,0.0010947627870717366,38.02331300855813
