raw_noise_std,filtered_noise_std,peak_value,peak_time,peak_preservation,peak_time_error,experiment,channel,filter
0.0012278403153502034,0.0007132141636302912,0.0020403999999416556,0.579994,0.45285890284804087,4.239957,expert7,FBG2,median
0.0016585652685094134,0.000738604338994864,0.001641499999914231,3.499965,0.5164476838917698,3.239968,expert7,FBG3,moving_average
0.0016585652685094134,0.0008029000619759479,0.003324573250591936,0.02,0.6376854801073829,6.099939,expert7,FBG3,butterworth
0.0016585652685094134,0.000812870322002938,0.002795038461437626,0.02,0.5546513522854282,3.239968,expert7,FBG3,savitzky_golay
0.0016585652685094134,0.001017326447154785,0.003123499999901469,9.699903,0.5991176752378488,3.5799640000000013,expert7,FBG3,median
0.004184477606594,0.0017833799123077223,0.006322599999521117,16.139838,0.5686490506267952,15.999839999999999,expert8,FBG1,moving_average
0.004184477606594,0.001891391570913612,0.005652429281280802,16.119839,0.431254436474913,19.379806000000002,expert8,FBG1,butterworth
0.004184477606594,0.001963501087805941,0.007010171095106371,16.119839,0.4873472277269358,16.019839000000005,expert8,FBG1,savitzky_golay
0.004184477606594,0.002311202580982907,0.007334599999467173,15.919841,0.5663081944175212,15.95984,expert8,FBG1,median
0.0014243751577582382,0.0006217047591977501,0.039883099999906337,2.919971,0.34351510599504964,0.11999899999999997,expert8,FBG2,moving_average
0.0014243751577582382,0.0005776186928373449,0.0371684741843195,2.939971,0.32013390005116865,0.09999899999999995,expert8,FBG2,butterworth
0.0014243751577582382,0.0006432494915388979,0.05284682027963865,2.939971,0.45517226769995417,0.09999899999999995,expert8,FBG2,savitzky_golay
0.0014243751577582382,0.0007868888413741688,0.0426770999999917,3.079969,0.3675799657020871,0.03999900000000034,expert8,FBG2,median
0.0017592330033043442,0.0008451723052594753,0.0018458000001373876,23.199768,0.4252447133255456,18.899811,expert8,FBG3,moving_average
0.0017592330033043442,0.0008473985764932622,0.0018802197694523513,0.239998,0.3853826331864817,18.899811,expert8,FBG3,butterworth
0.0017592330033043442,0.0008837707645613594,0.0020138046620877237,0.259998,0.42245144863933676,18.899811,expert8,FBG3,savitzky_golay
0.0017592330033043442,0.0011694519188189482,0.002881800000068324,1.679983,0.4306669330105415,8.379916,expert8,FBG3,median
0.004600893238286179,0.0018470776810922127,0.010190100000318125,24.199757,0.4526499082793939,9.599903999999999,expert9,FBG1,moving_average
0.004600893238286179,0.0016793955112045444,0.0093790500767971,111.038888,0.4166226196874919,77.239227,expert9,FBG1,butterworth
0.004600893238286179,0.001768001894248471,0.009525013753233185,24.219757,0.42310640735874677,9.579903999999999,expert9,FBG1,savitzky_golay
0.004600893238286179,0.002278385555750654,0.009912100000292412,85.539143,0.44030099369471054,51.739481999999995,expert9,FBG1,median
0.001389031331532629,0.0005379292931235543,0.0014333999999507796,1.239988,0.2531300201443934,0.040000000000000036,expert9,FBG2,moving_average
