dataset,fbg,impact_id,start_time,peak_time,end_time,duration,peak_shift,residual_shift,rise_time,recovery_time,mean,median,std,variance,rms,minimum,maximum,peak_to_peak,skewness,kurtosis,crest_factor,sampling_frequency_hz,num_samples,dominant_frequency_hz,dominant_magnitude,spectral_energy,spectral_entropy,spectral_centroid_hz,spectral_bandwidth_hz,spectral_flatness,spectral_rolloff_hz,stft_peak_frequency_hz,stft_max_energy,stft_valid,feature_status,failure_reason
expert12,FBG2,expert12-FBG2-005,5.599944,5.93994,5.99994,0.3999959999999998,0.005567723892686658,0.005241173776176587,0.3399960000000002,0.05999999999999961,0.004652837440219761,0.004600448717820457,0.0005719830939566451,3.271646597722162e-07,0.004687863149120609,0.0036392599066442225,0.005561241258603541,0.0019219813519593186,-0.04620321949906456,-1.0457778798388007,1.1863062298750697,50.000000000001066,21,2.3809523809524316,0.0041087930058538395,3.969475950270358e-05,1.9012781975121322,2.761337851853728,2.805599813931447,0.13791738025231068,4.761904761904863,0.0,2.3638307347235972e-05,True,ok,
expert12,FBG2,expert12-FBG2-006,7.039929,7.239927,7.439925,0.3999959999999998,0.006550148135148062,0.004704227389149536,0.1999979999999999,0.1999979999999999,0.005835078532460765,0.005959609557037735,0.0005588247449241718,3.1228509553956565e-07,0.005861776742210849,0.004717138694483473,0.0065436655010649445,0.001826526806581471,-0.4640208514233748,-0.972582599936711,1.116327998974064,50.000000000001066,21,2.3809523809524316,0.0034596453372192255,2.540802670377439e-05,1.9783757978610694,2.877970604949781,2.9899658725891256,0.11938039528616076,4.761904761904863,0.0,4.491459610649349e-05,True,ok,
expert12,FBG2,expert12-FBG2-007,7.99992,8.299917,9.739902,1.7399820000000004,0.006234064219061337,0.0046269546619632515,0.2999970000000003,1.439985,0.004737405965170993,0.004810378787884341,0.0007406176991004693,5.485145762208732e-07,0.004794948368341267,0.003167581584992874,0.00622758158497822,0.0030599999999853457,-0.18874522211479208,-0.7308145684724123,1.2987796961685636,50.000000000001066,88,1.704545454545491,0.013927197783798136,0.0009132870062612248,3.194533482560479,3.2505532737125145,2.494005529773566,0.0646822739352203,5.1136363636364734,0.0,3.441346562485932e-05,True,ok,
expert12,FBG2,expert12-FBG2-008,10.759892,10.95989,11.159888,0.3999959999999998,0.0062127355477011835,0.004982269347197068,0.199997999999999,0.1999980000000008,0.005225479242852384,0.005134597901975217,0.0005317363535818783,2.8274354972055225e-07,0.0052524638853781455,0.004425879953262599,0.006206252913618066,0.0017803729603554676,0.28192093438668026,-1.1058114206159377,1.181588878867894,50.000000000001066,21,2.3809523809524316,0.003962672127941316,3.861947293795722e-05,1.8480407173113675,2.4752347853813665,2.94302293125964,0.1484753839851782,4.761904761904863,0.0,3.893430918415165e-05,True,ok,
expert12,FBG2,expert12-FBG2-009,11.599884,11.659883,11.99988,0.3999959999999998,0.004934996619992281,0.004694343939382996,0.059999000000001246,0.33999699999999855,0.004069540736926706,0.0042122902096566675,0.0005200794526808563,2.7048263710081906e-07,0.004102638717533726,0.002863758741127255,0.004928513985909164,0.002064755244781909,-0.40398032845135895,-0.4016957278258966,1.2013034354806431,50.000000000001066,21,2.3809523809524316,0.0036812885988286212,3.6652832998318246e-05,2.3089869193491794,3.834820055754412,5.265976559609327,0.3765213620784465,7.142857142857295,0.0,1.737632511666411e-05,True,ok,
expert13,FBG2,expert13-FBG2-004,3.219968,3.279967,3.399966,0.17999799999999988,0.005260950116526611,0.00031070536131155743,0.059998999999999914,0.11999899999999997,0.002382759673760328,0.002706689743705568,0.0023777273951344434,5.653587565572826e-06,0.003366174568924085,-0.0019503615383386229,0.005246328438316781,0.007196689976655404,-0.43210205449965533,-1.1711033706894014,1.558543186307073,50.000000000001066,10,5.000000000000107,0.006475884393888367,7.565319484280743e-05,1.3896945522028792,4.080935193814754,3.2737961709130787,0.04540937869970456,5.000000000000107,,,False,partial,stft:event_too_short(10<16)
expert13,FBG2,expert13-FBG2-018,17.559824,17.659823,17.659823,0.0999990000000004,-0.01101252307694738,-0.022240262004536007,0.0999990000000004,0.0,-0.007084728282729062,-0.007256725174717125,0.0029864447793544534,8.918852420133469e-06,0.0076884476495736485,-0.01102714475515721,-0.002645373193385912,0.0083817715617713,0.13451164852237843,-1.3951400312368694,1.434248532051682,,0,,,,,,,,,,,False,partial,frequency_domain:insufficient_samples(6<8); stft:event_too_short(6<16)
expert13,FBG2,expert13-FBG2-019,18.319817,18.519814,18.719813,0.399995999999998,-0.03625643916078598,-0.029505821445180887,0.19999699999999976,0.19999899999999826,-0.03360013176809293,-0.03412770419570018,0.0020937622082273536,4.383840184601084e-06,0.03366530402384343,-0.03627106083899581,-0.02911462727258899,0.007156433566406821,0.7541653204751381,-0.3826804653145017,1.0774018500859774,50.000000000001066,21,2.3809523809524316,0.01297655988340549,0.00040652614258717464,1.4385562636021243,1.5532689693662942,1.790882403993756,0.028250096983280563,2.3809523809524316,0.0,0.0015365840520734843,True,ok,
expert8,FBG2,expert8-FBG2-002,2.899971,2.939971,3.839962,0.939991,0.05284966771562681,0.022475565151462706,0.040000000000000036,0.899991,0.02282441594781841,0.022777671095448496,0.007625413667814979,5.814693360529949e-05,0.024064515307072504,0.006074419347257588,0.05284682027963865,0.04677240093238106,1.2984574800137783,4.898901116172428,2.196047566522443,50.000000000001066,48,3.1250000000000666,0.02930124600335273,0.005982921598704605,3.973715505904191,8.642274418266032,6.1929027122676965,0.48802147021857284,18.7500000000004,0.0,0.0006579051091906769,True,ok,
expert8,FBG2,expert8-FBG2-003,6.479935,6.899931,7.819922,1.3399869999999998,0.02233481923068284,0.021063070979006733,0.41999599999999937,0.9199910000000004,0.021326113437394458,0.021438382051123597,0.0006282365554740305,3.946811696338746e-07,0.021335364902298957,0.019678591841318788,0.022331971794694677,0.0026533799533758895,-0.9098451151546039,0.3560812097322388,1.0467114997544913,50.000000000001066,68,1.470588235294149,0.015475676586720317,0.0005831924957886269,2.598685859836089,2.5492587285567048,3.0220024576091453,0.06929498366305872,3.6764705882353725,0.0,0.0005799453132030583,True,ok,
